IDENTIFIER,PROPERTY: Normalizing temperature ($^\circ$C),PROPERTY: Through hardening temperature ($^\circ$C),PROPERTY: Through hardening time (hours),FORMULA,PROPERTY: Fatigue strength
244,870,845,30,C0.38Si0.21Mn1.59P0.017S0.015Ni0.03Cr0.2Cu0.05Mo0,363
245,870,845,30,C0.4Si0.25Mn1.38P0.017S0.012Ni0.02Cr0.03Cu0.02Mo0,398
246,870,845,30,C0.42Si0.23Mn1.5P0.01S0.009Ni0.04Cr0.15Cu0.05Mo0,505
247,870,845,30,C0.43Si0.34Mn1.38P0.017S0.01Ni0.08Cr0.26Cu0.1Mo0,536
248,870,845,30,C0.42Si0.21Mn1.6P0.014S0.015Ni0.03Cr0.12Cu0.07Mo0,484
249,870,845,30,C0.42Si0.24Mn1.58P0.014S0.022Ni0.06Cr0.17Cu0.07Mo0,495
250,870,845,30,C0.42Si0.21Mn1.51P0.026S0.019Ni0.02Cr0.12Cu0.01Mo0,551
251,870,845,30,C0.45Si0.33Mn1.58P0.008S0.007Ni0.06Cr0.1Cu0.08Mo0,477
252,870,845,30,C0.41Si0.34Mn1.36P0.02S0.015Ni0.07Cr0.27Cu0.1Mo0,530
253,870,845,30,C0.4Si0.25Mn1.47P0.027S0.016Ni0.02Cr0.04Cu0.01Mo0,516
254,870,845,30,C0.41Si0.22Mn1.48P0.01S0.007Ni0.03Cr0.08Cu0.06Mo0,445
255,870,845,30,C0.46Si0.3Mn1.49P0.014S0.008Ni0.1Cr0.26Cu0.1Mo0,551
256,870,845,30,C0.43Si0.26Mn1.46P0.012S0.017Ni0.02Cr0.19Cu0.02Mo0,510
257,870,845,30,C0.41Si0.22Mn1.58P0.014S0.018Ni0.04Cr0.13Cu0.05Mo0,443
258,870,845,30,C0.42Si0.23Mn1.5P0.01S0.009Ni0.04Cr0.15Cu0.05Mo0,449
259,870,845,30,C0.43Si0.34Mn1.38P0.017S0.01Ni0.08Cr0.26Cu0.1Mo0,502
260,870,845,30,C0.42Si0.21Mn1.6P0.014S0.015Ni0.03Cr0.12Cu0.07Mo0,451
261,870,845,30,C0.42Si0.24Mn1.58P0.014S0.022Ni0.06Cr0.17Cu0.07Mo0,459
262,870,845,30,C0.42Si0.21Mn1.51P0.026S0.019Ni0.02Cr0.12Cu0.01Mo0,497
263,870,845,30,C0.45Si0.33Mn1.58P0.008S0.007Ni0.06Cr0.1Cu0.08Mo0,451
264,870,845,30,C0.41Si0.34Mn1.36P0.02S0.015Ni0.07Cr0.27Cu0.1Mo0,497
265,870,845,30,C0.4Si0.25Mn1.47P0.027S0.016Ni0.02Cr0.04Cu0.01Mo0,461
266,870,845,30,C0.41Si0.22Mn1.48P0.01S0.007Ni0.03Cr0.08Cu0.06Mo0,399
267,870,845,30,C0.46Si0.3Mn1.49P0.014S0.008Ni0.1Cr0.26Cu0.1Mo0,502
268,870,845,30,C0.43Si0.26Mn1.46P0.012S0.017Ni0.02Cr0.19Cu0.02Mo0,490
269,870,845,30,C0.41Si0.22Mn1.58P0.014S0.018Ni0.04Cr0.13Cu0.05Mo0,424
270,870,845,30,C0.42Si0.23Mn1.5P0.01S0.009Ni0.04Cr0.15Cu0.05Mo0,411
271,870,845,30,C0.43Si0.34Mn1.38P0.017S0.01Ni0.08Cr0.26Cu0.1Mo0,448
272,870,845,30,C0.42Si0.21Mn1.6P0.014S0.015Ni0.03Cr0.12Cu0.07Mo0,404
273,870,845,30,C0.42Si0.24Mn1.58P0.014S0.022Ni0.06Cr0.17Cu0.07Mo0,411
274,870,845,30,C0.42Si0.21Mn1.51P0.026S0.019Ni0.02Cr0.12Cu0.01Mo0,438
275,870,845,30,C0.45Si0.33Mn1.58P0.008S0.007Ni0.06Cr0.1Cu0.08Mo0,410
276,870,845,30,C0.41Si0.34Mn1.36P0.02S0.015Ni0.07Cr0.27Cu0.1Mo0,450
277,870,845,30,C0.4Si0.25Mn1.47P0.027S0.016Ni0.02Cr0.04Cu0.01Mo0,410
278,870,845,30,C0.41Si0.22Mn1.48P0.01S0.007Ni0.03Cr0.08Cu0.06Mo0,383
279,870,845,30,C0.46Si0.3Mn1.49P0.014S0.008Ni0.1Cr0.26Cu0.1Mo0,460
280,870,845,30,C0.43Si0.26Mn1.46P0.012S0.017Ni0.02Cr0.19Cu0.02Mo0,442
281,870,845,30,C0.41Si0.22Mn1.58P0.014S0.018Ni0.04Cr0.13Cu0.05Mo0,399
282,900,845,30,C0.32Si0.3Mn0.49P0.008S0.006Ni2.66Cr0.82Cu0.09Mo0,563
283,900,845,30,C0.32Si0.24Mn0.58P0.009S0.01Ni2.65Cr0.71Cu0.06Mo0,530
284,900,845,30,C0.32Si0.29Mn0.54P0.018S0.004Ni2.64Cr0.75Cu0.05Mo0,570
285,900,845,30,C0.35Si0.26Mn0.54P0.019S0.003Ni2.78Cr0.89Cu0.05Mo0,578
286,900,845,30,C0.31Si0.22Mn0.56P0.016S0.016Ni2.63Cr0.71Cu0.1Mo0,537
287,900,845,30,C0.33Si0.3Mn0.49P0.009S0.006Ni2.66Cr0.82Cu0.06Mo0,569
288,900,845,30,C0.28Si0.27Mn0.53P0.019S0.009Ni2.67Cr0.87Cu0.05Mo0,576
289,900,845,30,C0.34Si0.26Mn0.65P0.01S0.009Ni2.63Cr0.84Cu0.05Mo0,549
290,900,845,30,C0.3Si0.27Mn0.53P0.018S0.008Ni2.7Cr0.81Cu0.07Mo0,522
291,900,845,30,C0.32Si0.3Mn0.52P0.013S0.009Ni2.67Cr0.77Cu0.06Mo0,570
292,900,845,30,C0.32Si0.3Mn0.49P0.008S0.006Ni2.66Cr0.82Cu0.09Mo0,510
293,900,845,30,C0.32Si0.24Mn0.58P0.009S0.01Ni2.65Cr0.71Cu0.06Mo0,510
294,900,845,30,C0.32Si0.29Mn0.54P0.018S0.004Ni2.64Cr0.75Cu0.05Mo0,517
295,900,845,30,C0.35Si0.26Mn0.54P0.019S0.003Ni2.78Cr0.89Cu0.05Mo0,540
296,900,845,30,C0.31Si0.22Mn0.56P0.016S0.016Ni2.63Cr0.71Cu0.1Mo0,518
297,900,845,30,C0.33Si0.3Mn0.49P0.009S0.006Ni2.66Cr0.82Cu0.06Mo0,523
298,900,845,30,C0.28Si0.27Mn0.53P0.019S0.009Ni2.67Cr0.87Cu0.05Mo0,537
299,900,845,30,C0.34Si0.26Mn0.65P0.01S0.009Ni2.63Cr0.84Cu0.05Mo0,536
300,900,845,30,C0.3Si0.27Mn0.53P0.018S0.008Ni2.7Cr0.81Cu0.07Mo0,503
301,900,845,30,C0.32Si0.3Mn0.52P0.013S0.009Ni2.67Cr0.77Cu0.06Mo0,540
302,900,845,30,C0.32Si0.3Mn0.49P0.008S0.006Ni2.66Cr0.82Cu0.09Mo0,490
303,900,845,30,C0.32Si0.24Mn0.58P0.009S0.01Ni2.65Cr0.71Cu0.06Mo0,477
304,900,845,30,C0.32Si0.29Mn0.54P0.018S0.004Ni2.64Cr0.75Cu0.05Mo0,483
305,900,845,30,C0.35Si0.26Mn0.54P0.019S0.003Ni2.78Cr0.89Cu0.05Mo0,503
306,900,845,30,C0.31Si0.22Mn0.56P0.016S0.016Ni2.63Cr0.71Cu0.1Mo0,471
307,900,845,30,C0.33Si0.3Mn0.49P0.009S0.006Ni2.66Cr0.82Cu0.06Mo0,476
308,900,845,30,C0.28Si0.27Mn0.53P0.019S0.009Ni2.67Cr0.87Cu0.05Mo0,502
309,900,845,30,C0.34Si0.26Mn0.65P0.01S0.009Ni2.63Cr0.84Cu0.05Mo0,496
310,900,845,30,C0.3Si0.27Mn0.53P0.018S0.008Ni2.7Cr0.81Cu0.07Mo0,471
311,900,845,30,C0.32Si0.3Mn0.52P0.013S0.009Ni2.67Cr0.77Cu0.06Mo0,497
312,870,845,30,C0.39Si0.19Mn0.77P0.01S0.012Ni1.67Cr0.72Cu0.07Mo0.18,591
313,870,845,30,C0.4Si0.23Mn0.7P0.011S0.01Ni1.82Cr0.78Cu0.09Mo0.18,590
314,870,845,30,C0.4Si0.29Mn0.79P0.022S0.009Ni1.92Cr0.96Cu0.05Mo0.24,606
315,870,845,30,C0.4Si0.25Mn0.7P0.021S0.02Ni1.63Cr0.71Cu0.08Mo0.17,584
316,870,845,30,C0.38Si0.26Mn0.71P0.016S0.017Ni1.8Cr0.75Cu0.04Mo0.23,604
317,870,845,30,C0.4Si0.33Mn0.73P0.011S0.012Ni1.71Cr0.74Cu0.08Mo0.2,591
318,870,845,30,C0.42Si0.25Mn0.73P0.012S0.021Ni1.69Cr0.73Cu0.09Mo0.22,588
319,870,845,30,C0.38Si0.26Mn0.71P0.016S0.008Ni1.66Cr0.72Cu0.12Mo0.16,588
320,870,845,30,C0.41Si0.29Mn0.74P0.013S0.01Ni1.84Cr0.74Cu0.12Mo0.22,550
321,870,845,30,C0.39Si0.25Mn0.71P0.015S0.013Ni1.76Cr0.82Cu0.09Mo0.23,609
322,870,845,30,C0.38Si0.29Mn0.7P0.012S0.008Ni1.75Cr0.74Cu0.07Mo0.19,604
323,870,845,30,C0.42Si0.3Mn0.78P0.016S0.004Ni1.9Cr0.86Cu0.04Mo0.24,619
324,870,845,30,C0.37Si0.29Mn0.76P0.017S0.01Ni1.88Cr0.9Cu0.03Mo0.24,643
325,870,845,30,C0.43Si0.26Mn0.68P0.012S0.018Ni1.62Cr0.68Cu0.09Mo0.17,569
326,870,845,30,C0.39Si0.19Mn0.77P0.01S0.012Ni1.67Cr0.72Cu0.07Mo0.18,551
327,870,845,30,C0.4Si0.23Mn0.7P0.011S0.01Ni1.82Cr0.78Cu0.09Mo0.18,543
328,870,845,30,C0.4Si0.29Mn0.79P0.022S0.009Ni1.92Cr0.96Cu0.05Mo0.24,543
329,870,845,30,C0.4Si0.25Mn0.7P0.021S0.02Ni1.63Cr0.71Cu0.08Mo0.17,524
330,870,845,30,C0.38Si0.26Mn0.71P0.016S0.017Ni1.8Cr0.75Cu0.04Mo0.23,571
331,870,845,30,C0.4Si0.33Mn0.73P0.011S0.012Ni1.71Cr0.74Cu0.08Mo0.2,542
332,870,845,30,C0.42Si0.25Mn0.73P0.012S0.021Ni1.69Cr0.73Cu0.09Mo0.22,531
333,870,845,30,C0.38Si0.26Mn0.71P0.016S0.008Ni1.66Cr0.72Cu0.12Mo0.16,531
334,870,845,30,C0.41Si0.29Mn0.74P0.013S0.01Ni1.84Cr0.74Cu0.12Mo0.22,512
335,870,845,30,C0.39Si0.25Mn0.71P0.015S0.013Ni1.76Cr0.82Cu0.09Mo0.23,563
336,870,845,30,C0.38Si0.29Mn0.7P0.012S0.008Ni1.75Cr0.74Cu0.07Mo0.19,550
337,870,845,30,C0.42Si0.3Mn0.78P0.016S0.004Ni1.9Cr0.86Cu0.04Mo0.24,583
338,870,845,30,C0.37Si0.29Mn0.76P0.017S0.01Ni1.88Cr0.9Cu0.03Mo0.24,583
339,870,845,30,C0.43Si0.26Mn0.68P0.012S0.018Ni1.62Cr0.68Cu0.09Mo0.17,550
340,870,845,30,C0.39Si0.19Mn0.77P0.01S0.012Ni1.67Cr0.72Cu0.07Mo0.18,482
341,870,845,30,C0.4Si0.23Mn0.7P0.011S0.01Ni1.82Cr0.78Cu0.09Mo0.18,482
342,870,845,30,C0.4Si0.29Mn0.79P0.022S0.009Ni1.92Cr0.96Cu0.05Mo0.24,490
343,870,845,30,C0.4Si0.25Mn0.7P0.021S0.02Ni1.63Cr0.71Cu0.08Mo0.17,476
344,870,845,30,C0.38Si0.26Mn0.71P0.016S0.017Ni1.8Cr0.75Cu0.04Mo0.23,483
345,870,845,30,C0.4Si0.33Mn0.73P0.011S0.012Ni1.71Cr0.74Cu0.08Mo0.2,480
346,870,845,30,C0.42Si0.25Mn0.73P0.012S0.021Ni1.69Cr0.73Cu0.09Mo0.22,491
347,870,845,30,C0.38Si0.26Mn0.71P0.016S0.008Ni1.66Cr0.72Cu0.12Mo0.16,471
348,870,845,30,C0.41Si0.29Mn0.74P0.013S0.01Ni1.84Cr0.74Cu0.12Mo0.22,469
349,870,845,30,C0.39Si0.25Mn0.71P0.015S0.013Ni1.76Cr0.82Cu0.09Mo0.23,490
350,870,845,30,C0.38Si0.29Mn0.7P0.012S0.008Ni1.75Cr0.74Cu0.07Mo0.19,483
351,870,845,30,C0.42Si0.3Mn0.78P0.016S0.004Ni1.9Cr0.86Cu0.04Mo0.24,498
352,870,845,30,C0.37Si0.29Mn0.76P0.017S0.01Ni1.88Cr0.9Cu0.03Mo0.24,491
353,870,845,30,C0.43Si0.26Mn0.68P0.012S0.018Ni1.62Cr0.68Cu0.09Mo0.17,463
354,870,845,30,C0.47Si0.28Mn0.72P0.011S0.007Ni1.76Cr0.79Cu0.06Mo0,600
355,870,845,30,C0.47Si0.19Mn0.76P0.013S0.013Ni1.67Cr0.71Cu0.06Mo0,615
356,870,845,30,C0.44Si0.25Mn0.74P0.01S0.009Ni1.74Cr0.79Cu0.09Mo0,607
357,870,845,30,C0.45Si0.16Mn0.79P0.009S0.016Ni1.65Cr0.73Cu0.05Mo0,596
358,870,845,30,C0.48Si0.2Mn0.7P0.01S0.016Ni1.66Cr0.73Cu0.11Mo0,618
359,870,845,30,C0.49Si0.29Mn0.69P0.014S0.011Ni1.8Cr0.77Cu0.07Mo0,585
360,870,845,30,C0.47Si0.28Mn0.72P0.011S0.007Ni1.76Cr0.79Cu0.06Mo0,551
361,870,845,30,C0.47Si0.19Mn0.76P0.013S0.013Ni1.67Cr0.71Cu0.06Mo0,556
362,870,845,30,C0.44Si0.25Mn0.74P0.01S0.009Ni1.74Cr0.79Cu0.09Mo0,550
363,870,845,30,C0.45Si0.16Mn0.79P0.009S0.016Ni1.65Cr0.73Cu0.05Mo0,537
364,870,845,30,C0.48Si0.2Mn0.7P0.01S0.016Ni1.66Cr0.73Cu0.11Mo0,543
365,870,845,30,C0.49Si0.29Mn0.69P0.014S0.011Ni1.8Cr0.77Cu0.07Mo0,543
366,870,845,30,C0.47Si0.28Mn0.72P0.011S0.007Ni1.76Cr0.79Cu0.06Mo0,471
367,870,845,30,C0.47Si0.19Mn0.76P0.013S0.013Ni1.67Cr0.71Cu0.06Mo0,476
368,870,845,30,C0.44Si0.25Mn0.74P0.01S0.009Ni1.74Cr0.79Cu0.09Mo0,482
369,870,845,30,C0.45Si0.16Mn0.79P0.009S0.016Ni1.65Cr0.73Cu0.05Mo0,477
370,870,845,30,C0.48Si0.2Mn0.7P0.01S0.016Ni1.66Cr0.73Cu0.11Mo0,491
371,870,845,30,C0.49Si0.29Mn0.69P0.014S0.011Ni1.8Cr0.77Cu0.07Mo0,479
372,845,845,30,C0.6Si1.96Mn0.85P0.019S0.004Ni0.05Cr0.15Cu0.12Mo0,781
373,845,845,30,C0.59Si1.99Mn0.92P0.027S0.01Ni0.01Cr0.15Cu0.01Mo0,698
374,845,845,30,C0.61Si2.05Mn0.86P0.019S0.014Ni0.16Cr0.16Cu0.12Mo0,906
375,845,845,30,C0.6Si1.96Mn0.85P0.019S0.004Ni0.05Cr0.15Cu0.12Mo0,740
376,845,845,30,C0.59Si1.99Mn0.92P0.027S0.01Ni0.01Cr0.15Cu0.01Mo0,678
377,845,845,30,C0.61Si2.05Mn0.86P0.019S0.014Ni0.16Cr0.16Cu0.12Mo0,770
378,845,845,30,C0.61Si0.28Mn0.87P0.019S0.02Ni0.08Cr0.87Cu0.2Mo0.05,794
379,845,845,30,C0.63Si0.17Mn0.77P0.026S0.014Ni0.03Cr0.81Cu0.02Mo0.01,855
380,845,845,30,C0.62Si0.29Mn0.88P0.026S0.007Ni0.05Cr0.75Cu0.12Mo0.03,768
381,845,845,30,C0.61Si0.28Mn0.87P0.019S0.02Ni0.08Cr0.87Cu0.2Mo0.05,745
382,845,845,30,C0.63Si0.17Mn0.77P0.026S0.014Ni0.03Cr0.81Cu0.02Mo0.01,707
383,845,845,30,C0.62Si0.29Mn0.88P0.026S0.007Ni0.05Cr0.75Cu0.12Mo0.03,718
384,845,845,30,C0.53Si1.49Mn0.69P0.011S0.007Ni0.02Cr0.74Cu0.01Mo0,874
385,845,845,30,C0.53Si1.31Mn0.75P0.004S0.004Ni0.04Cr0.63Cu0.06Mo0.01,829
386,845,845,30,C0.53Si1.51Mn0.68P0.013S0.011Ni0.13Cr0.68Cu0.26Mo0.05,700
387,845,845,30,C0.54Si1.5Mn0.69P0.013S0.007Ni0.02Cr0.74Cu0.01Mo0,806
388,845,845,30,C0.53Si1.31Mn0.75P0.007S0.003Ni0.04Cr0.64Cu0.06Mo0.01,720
389,845,845,30,C0.53Si1.5Mn0.67P0.014S0.011Ni0.13Cr0.67Cu0.26Mo0.05,688
390,930,30,0,C0.21Si0.29Mn0.62P0.015S0.016Ni1.62Cr0.59Cu0.07Mo0.21,1034
391,930,30,0,C0.23Si0.35Mn0.51P0.008S0.012Ni1.69Cr0.55Cu0.11Mo0.18,1139
392,930,30,0,C0.17Si0.28Mn0.55P0.002S0.016Ni1.64Cr0.45Cu0.05Mo0.16,1002
393,930,30,0,C0.21Si0.29Mn0.62P0.015S0.016Ni1.62Cr0.59Cu0.07Mo0.21,1056
394,930,30,0,C0.23Si0.35Mn0.51P0.008S0.012Ni1.69Cr0.55Cu0.11Mo0.18,1124
395,930,30,0,C0.17Si0.28Mn0.55P0.002S0.016Ni1.64Cr0.45Cu0.05Mo0.16,1082
396,930,30,0,C0.21Si0.29Mn0.62P0.015S0.016Ni1.62Cr0.59Cu0.07Mo0.21,1054
397,930,30,0,C0.23Si0.35Mn0.51P0.008S0.012Ni1.69Cr0.55Cu0.11Mo0.18,1190
398,930,30,0,C0.17Si0.28Mn0.55P0.002S0.016Ni1.64Cr0.45Cu0.05Mo0.16,935
399,930,30,0,C0.21Si0.29Mn0.62P0.015S0.016Ni1.62Cr0.59Cu0.07Mo0.21,1037
400,930,30,0,C0.23Si0.35Mn0.51P0.008S0.012Ni1.69Cr0.55Cu0.11Mo0.18,1110
401,930,30,0,C0.17Si0.28Mn0.55P0.002S0.016Ni1.64Cr0.45Cu0.05Mo0.16,1035
402,930,30,0,C0.2Si0.32Mn0.77P0.024S0.028Ni0.46Cr0.47Cu0.2Mo0.19,927
403,930,30,0,C0.23Si0.29Mn0.85P0.011S0.011Ni0.44Cr0.6Cu0.07Mo0.16,976
404,930,30,0,C0.18Si0.26Mn0.76P0.009S0.014Ni0.56Cr0.62Cu0.12Mo0.17,986
405,930,30,0,C0.2Si0.32Mn0.77P0.024S0.028Ni0.46Cr0.47Cu0.2Mo0.19,956
406,930,30,0,C0.23Si0.29Mn0.85P0.011S0.011Ni0.44Cr0.6Cu0.07Mo0.16,946
407,930,30,0,C0.18Si0.26Mn0.76P0.009S0.014Ni0.56Cr0.62Cu0.12Mo0.17,1089
408,930,30,0,C0.2Si0.32Mn0.77P0.024S0.028Ni0.46Cr0.47Cu0.2Mo0.19,960
409,930,30,0,C0.23Si0.29Mn0.85P0.011S0.011Ni0.44Cr0.6Cu0.07Mo0.16,1033
410,930,30,0,C0.18Si0.26Mn0.76P0.009S0.014Ni0.56Cr0.62Cu0.12Mo0.17,1080
411,930,30,0,C0.2Si0.32Mn0.77P0.024S0.028Ni0.46Cr0.47Cu0.2Mo0.19,924
412,930,30,0,C0.23Si0.29Mn0.85P0.011S0.011Ni0.44Cr0.6Cu0.07Mo0.16,1009
413,930,30,0,C0.18Si0.26Mn0.76P0.009S0.014Ni0.56Cr0.62Cu0.12Mo0.17,1053
414,930,30,0,C0.21Si0.3Mn0.76P0.021S0.006Ni0.08Cr1.09Cu0.14Mo0.03,854
415,930,30,0,C0.23Si0.2Mn0.8P0.013S0.018Ni0.04Cr1.14Cu0.07Mo0.02,1086
416,930,30,0,C0.19Si0.21Mn0.77P0.017S0.011Ni0.12Cr1.02Cu0.16Mo0.05,889
417,930,30,0,C0.21Si0.3Mn0.76P0.021S0.006Ni0.08Cr1.09Cu0.14Mo0.03,884
418,930,30,0,C0.23Si0.2Mn0.8P0.013S0.018Ni0.04Cr1.14Cu0.07Mo0.02,1057
419,930,30,0,C0.19Si0.21Mn0.77P0.017S0.011Ni0.12Cr1.02Cu0.16Mo0.05,900
420,930,30,0,C0.21Si0.3Mn0.76P0.021S0.006Ni0.08Cr1.09Cu0.14Mo0.03,876
421,930,30,0,C0.23Si0.2Mn0.8P0.013S0.018Ni0.04Cr1.14Cu0.07Mo0.02,1068
422,930,30,0,C0.19Si0.21Mn0.77P0.017S0.011Ni0.12Cr1.02Cu0.16Mo0.05,838
423,930,30,0,C0.21Si0.3Mn0.76P0.021S0.006Ni0.08Cr1.09Cu0.14Mo0.03,873
424,930,30,0,C0.23Si0.2Mn0.8P0.013S0.018Ni0.04Cr1.14Cu0.07Mo0.02,1120
425,930,30,0,C0.19Si0.21Mn0.77P0.017S0.011Ni0.12Cr1.02Cu0.16Mo0.05,898
426,930,30,0,C0.21Si0.31Mn0.81P0.012S0.019Ni0.06Cr1.17Cu0.07Mo0.17,1074
427,930,30,0,C0.21Si0.26Mn0.65P0.015S0.024Ni0.02Cr0.91Cu0.01Mo0.15,1006
428,930,30,0,C0.18Si0.25Mn0.79P0.016S0.015Ni0.07Cr1.08Cu0.08Mo0.15,858
429,930,30,0,C0.21Si0.31Mn0.81P0.012S0.019Ni0.06Cr1.17Cu0.07Mo0.17,1144
430,930,30,0,C0.21Si0.26Mn0.65P0.015S0.024Ni0.02Cr0.91Cu0.01Mo0.15,1028
431,930,30,0,C0.18Si0.25Mn0.79P0.016S0.015Ni0.07Cr1.08Cu0.08Mo0.15,948
432,930,30,0,C0.21Si0.31Mn0.81P0.012S0.019Ni0.06Cr1.17Cu0.07Mo0.17,1080
433,930,30,0,C0.21Si0.26Mn0.65P0.015S0.024Ni0.02Cr0.91Cu0.01Mo0.15,1030
434,930,30,0,C0.18Si0.25Mn0.79P0.016S0.015Ni0.07Cr1.08Cu0.08Mo0.15,957
435,930,30,0,C0.21Si0.31Mn0.81P0.012S0.019Ni0.06Cr1.17Cu0.07Mo0.17,1104
436,930,30,0,C0.21Si0.26Mn0.65P0.015S0.024Ni0.02Cr0.91Cu0.01Mo0.15,1008
437,930,30,0,C0.18Si0.25Mn0.79P0.016S0.015Ni0.07Cr1.08Cu0.08Mo0.15,882
